"Date","y*(t)","y*(t-1)","y*(t-2)","g(t)","g(t-1)","g(t-2)","z(t)","z(t-1)","z(t-2)"
1985-07-01,900.830814250282,899.657890580408,898.864644652994,0.832948376290954,0.840069640765286,0.845204630986627,-0.703743145883131,-0.695705863199151,-0.688209821617226
1985-10-01,901.486288482975,900.830814250282,899.657890580408,0.8268426459174,0.832948376290953,0.840069640765286,-0.711597165897209,-0.703743145883136,-0.695705863199162
1986-01-01,902.359658320705,901.486288482975,900.830814250282,0.820616834507355,0.8268426459174,0.832948376290953,-0.71914557334688,-0.711597165897213,-0.70374314588314
1986-04-01,902.924130716351,902.359658320705,901.486288482975,0.815808669625116,0.820616834507355,0.8268426459174,-0.726545753164305,-0.719145573346878,-0.711597165897211
1986-07-01,903.82899017636,902.924130716351,902.359658320705,0.810606700989187,0.815808669625117,0.820616834507355,-0.733757782103113,-0.7265457531643,-0.719145573346876
1986-10-01,904.417589259566,903.82899017636,902.924130716351,0.806739809348113,0.810606700989187,0.815808669625116,-0.740583967076037,-0.733757782103109,-0.726545753164296
1987-01-01,905.094934103377,904.417589259566,903.82899017636,0.803426817462638,0.806739809348113,0.810606700989187,-0.747727863023596,-0.740583967076034,-0.733757782103106
1987-04-01,905.955099346217,905.094934103377,904.417589259566,0.799594925443141,0.803426817462638,0.806739809348113,-0.755400345682749,-0.747727863023594,-0.740583967076029
1987-07-01,906.6153688369,905.955099346217,905.094934103377,0.796012181394844,0.799594925443141,0.803426817462638,-0.764255206112575,-0.755400345682754,-0.747727863023593
1987-10-01,907.861790089406,906.6153688369,905.955099346217,0.789799610041324,0.796012181394844,0.799594925443141,-0.773702246386922,-0.764255206112577,-0.755400345682756
1988-01-01,908.330666415219,907.861790089406,906.6153688369,0.785190796691784,0.789799610041324,0.796012181394844,-0.78338076302606,-0.773702246386907,-0.76425520611257
